anomaly,doc_id
1,DOC_00746
2,DOC_01390
3,DOC_02077
4,DOC_01716
5,DOC_00038
6,DOC_02018
7,DOC_00642
8,DOC_01280
9,DOC_00711
10,DOC_01556
11,DOC_01195
12,DOC_01698
13,DOC_00576
14,DOC_00451
15,DOC_02034
16,DOC_01136
17,DOC_00879
18,DOC_01585
19,DOC_00146
20,DOC_01069
21,DOC_00416
22,DOC_00881
23,DOC_01902
24,DOC_00726
25,DOC_01752
26,DOC_01928
27,DOC_00464
28,DOC_00473
29,DOC_00359
30,DOC_00211
31,DOC_02138
32,DOC_00299
33,DOC_00001
34,DOC_00030
35,DOC_00111
36,DOC_00189
37,DOC_01218
38,DOC_00924
39,DOC_01497
40,DOC_01287
41,DOC_00608
42,DOC_01057
43,DOC_01449
44,DOC_02022
45,DOC_01405
46,DOC_00515
47,DOC_00183
48,DOC_02107
49,DOC_00755
50,DOC_02026
