doc_id,label
DOC_00001,3
DOC_00002,1
DOC_00003,1
DOC_00004,4
DOC_00005,5
DOC_00006,2
DOC_00007,3
DOC_00008,3
DOC_00009,3
DOC_00010,3
DOC_00011,6
DOC_00012,0
DOC_00013,3
DOC_00014,2
DOC_00015,3
DOC_00016,3
DOC_00017,3
DOC_00018,3
DOC_00019,3
DOC_00020,5
DOC_00021,3
DOC_00022,2
DOC_00023,3
DOC_00024,6
DOC_00025,2
DOC_00026,5
DOC_00027,2
DOC_00028,3
DOC_00029,4
DOC_00030,3
DOC_00031,3
DOC_00032,3
DOC_00033,5
DOC_00034,3
DOC_00035,5
DOC_00036,5
DOC_00037,4
DOC_00038,3
DOC_00039,1
DOC_00040,6
DOC_00041,4
DOC_00042,5
DOC_00043,6
DOC_00044,1
DOC_00045,3
DOC_00046,3
DOC_00047,3
DOC_00048,4
DOC_00049,4
DOC_00050,5
DOC_00051,6
DOC_00052,3
DOC_00053,1
DOC_00054,3
DOC_00055,4
DOC_00056,6
DOC_00057,3
DOC_00058,3
DOC_00059,1
DOC_00060,3
DOC_00061,5
DOC_00062,6
DOC_00063,5
DOC_00064,3
DOC_00065,3
DOC_00066,5
DOC_00067,6
DOC_00068,6
DOC_00069,3
DOC_00070,1
DOC_00071,1
DOC_00072,4
DOC_00073,5
DOC_00074,4
DOC_00075,6
DOC_00076,1
DOC_00077,4
DOC_00078,5
DOC_00079,4
DOC_00080,1
DOC_00081,0
DOC_00082,5
DOC_00083,4
DOC_00084,4
DOC_00085,3
DOC_00086,6
DOC_00087,5
DOC_00088,3
DOC_00089,3
DOC_00090,4
DOC_00091,5
DOC_00092,5
DOC_00093,1
DOC_00094,6
DOC_00095,3
DOC_00096,4
DOC_00097,4
DOC_00098,3
DOC_00099,4
DOC_00100,5
DOC_00101,6
DOC_00102,1
DOC_00103,3
DOC_00104,6
DOC_00105,0
DOC_00106,3
DOC_00107,5
DOC_00108,5
DOC_00109,3
DOC_00110,5
DOC_00111,3
DOC_00112,3
DOC_00113,3
DOC_00114,6
DOC_00115,3
DOC_00116,3
